Matrix Size,Nodes,Number of Processes,Execution Time (ms)
400,1,1,17.542920
800,1,1,138.746600
1200,1,1,431.497800
1600,1,1,1564.060000
2000,1,1,2051.280000
2400,1,1,4999.438000
2800,1,1,7603.488000
3200,1,1,19098.040000
400,2,2,38.374900
800,2,2,122.017800
1200,2,2,312.962800
1600,2,2,957.554400
2000,2,2,1254.184000
2400,2,2,2697.004000
2800,2,2,3378.828000
3200,2,2,7681.752000
400,4,4,52.648600
800,4,4,124.823800
1200,4,4,238.675200
1600,4,4,632.875800
2000,4,4,835.895200
2400,4,4,1650.504000
2800,4,4,2037.780000
3200,4,4,4022.432000
400,6,8,75.930720
800,6,8,171.616000
1200,6,8,281.740200
1600,6,8,508.368400
2000,6,8,656.694600
2400,6,8,1141.206000
2800,6,8,1427.266000
3200,6,8,2497.866000
400,6,12,97.111260
800,6,12,195.016600
1200,6,12,317.150000
1600,6,12,492.640400
2000,6,12,638.686000
2400,6,12,971.424200
2800,6,12,1178.746000
3200,6,12,1989.588000
400,6,16,92.629640
800,6,16,164.111000
1200,6,16,253.972000
1600,6,16,421.434800
2000,6,16,549.435800
2400,6,16,852.071800
2800,6,16,1054.352000
3200,6,16,1763.930000
400,6,20,97.251460
800,6,20,190.786800
1200,6,20,295.870600
1600,6,20,460.848800
2000,6,20,609.779800
2400,6,20,877.306400
2800,6,20,1091.294000
3200,6,20,1681.710000
