Matrix Size,Nodes,Number of Processes,Execution Time (ms),Speedup,Efficiency
400,1,1,17.4437,1,1
800,1,1,139.332,1,1
1200,1,1,431.7302,1,1
1600,1,1,1564.69,1,1
2000,1,1,2057.044,1,1
2400,1,1,4969.582,1,1
2800,1,1,7626.362,1,1
3200,1,1,19162.68,1,1
400,2,2,38.41924,0.45,0.23
800,2,2,122.9352,1.13,0.57
1200,2,2,315.0514,1.37,0.69
1600,2,2,956.6394,1.64,0.82
2000,2,2,1251.588,1.64,0.82
2400,2,2,2696.39,1.84,0.92
2800,2,2,3368.264,2.26,1.13
3200,2,2,7636.674,2.51,1.25
400,4,4,52.57946,0.33,0.08
800,4,4,123.7954,1.13,0.28
1200,4,4,239.3472,1.8,0.45
1600,4,4,635.874,2.46,0.62
2000,4,4,838.4436,2.45,0.61
2400,4,4,1652.016,3.01,0.75
2800,4,4,2039.76,3.74,0.93
3200,4,4,4023.598,4.76,1.19
400,6,8,80.5016,0.22,0.03
800,6,8,167.3742,0.83,0.1
1200,6,8,283.3814,1.52,0.19
1600,6,8,507.8692,3.08,0.39
2000,6,8,660.1736,3.12,0.39
2400,6,8,1143.488,4.35,0.54
2800,6,8,1431.076,5.33,0.67
3200,6,8,2511.126,7.63,0.95
400,6,12,101.8798,0.17,0.01
800,6,12,190.9528,0.73,0.06
1200,6,12,324.212,1.33,0.11
1600,6,12,494.1312,3.17,0.26
2000,6,12,643.0344,3.2,0.27
2400,6,12,971.252,5.12,0.43
2800,6,12,1179.55,6.47,0.54
3200,6,12,1981.764,9.67,0.81
400,6,16,93.19004,0.19,0.01
800,6,16,159.8956,0.87,0.05
1200,6,16,254.437,1.7,0.11
1600,6,16,427.575,3.66,0.23
2000,6,16,545.2584,3.77,0.24
2400,6,16,850.8256,5.84,0.37
2800,6,16,1054.462,7.23,0.45
3200,6,16,1734.836,11.05,0.69
400,6,20,97.30778,0.18,0.01
800,6,20,189.0808,0.74,0.04
1200,6,20,290.4004,1.49,0.07
1600,6,20,460.751,3.4,0.17
2000,6,20,607.5126,3.39,0.17
2400,6,20,873.589,5.69,0.28
2800,6,20,1089.484,7,0.35
3200,6,20,1704.91,11.24,0.56
